Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
76   	23.84%	26.23%	25.86%	24.07%	 0.00%	23.84%	26.23%	25.86%	24.07%	 0.00%
77   	23.89%	26.15%	25.85%	24.11%	 0.00%	23.89%	26.15%	25.85%	24.11%	 0.00%
78   	23.79%	26.27%	25.85%	24.09%	 0.00%	23.79%	26.27%	25.85%	24.09%	 0.00%
79   	23.85%	26.22%	25.90%	24.04%	 0.00%	23.85%	26.22%	25.90%	24.04%	 0.00%
80   	23.87%	26.19%	25.86%	24.08%	 0.00%	23.87%	26.19%	25.86%	24.08%	 0.00%
81   	23.80%	26.27%	25.85%	24.08%	 0.00%	23.80%	26.27%	25.85%	24.08%	 0.00%
82   	23.86%	26.21%	25.89%	24.04%	 0.00%	23.86%	26.21%	25.89%	24.04%	 0.00%
83   	23.88%	26.16%	25.87%	24.09%	 0.00%	23.88%	26.16%	25.87%	24.09%	 0.00%
84   	23.79%	26.28%	25.88%	24.05%	 0.00%	23.79%	26.28%	25.88%	24.05%	 0.00%
85   	23.88%	26.23%	25.89%	24.00%	 0.00%	23.88%	26.23%	25.89%	24.00%	 0.00%
86   	23.84%	26.12%	26.03%	24.00%	 0.00%	23.84%	26.12%	26.03%	24.00%	 0.00%
87   	23.82%	26.27%	25.89%	24.02%	 0.00%	23.82%	26.27%	25.89%	24.02%	 0.00%
88   	23.87%	26.21%	25.95%	23.97%	 0.00%	23.87%	26.21%	25.95%	23.97%	 0.00%
89   	23.89%	26.17%	25.92%	24.02%	 0.00%	23.89%	26.17%	25.92%	24.02%	 0.00%
90   	23.82%	26.30%	25.89%	24.00%	 0.00%	23.82%	26.30%	25.89%	24.00%	 0.00%
91   	23.83%	26.25%	25.93%	23.99%	 0.00%	23.83%	26.25%	25.93%	23.99%	 0.00%
92   	23.87%	26.19%	25.90%	24.03%	 0.00%	23.87%	26.19%	25.90%	24.03%	 0.00%
93   	23.82%	26.27%	25.90%	24.01%	 0.00%	23.82%	26.27%	25.90%	24.01%	 0.00%
94   	23.86%	26.23%	25.96%	23.95%	 0.00%	23.86%	26.23%	25.96%	23.95%	 0.00%
95   	23.90%	26.18%	25.93%	24.00%	 0.00%	23.90%	26.18%	25.93%	24.00%	 0.00%
96   	23.82%	26.25%	25.96%	23.97%	 0.00%	23.82%	26.25%	25.96%	23.97%	 0.00%
97   	23.90%	26.21%	25.96%	23.94%	 0.00%	23.90%	26.21%	25.96%	23.94%	 0.00%
98   	23.92%	26.17%	25.94%	23.97%	 0.00%	23.92%	26.17%	25.94%	23.97%	 0.00%
99   	23.85%	26.27%	25.94%	23.94%	 0.00%	23.85%	26.27%	25.94%	23.94%	 0.00%
100  	23.88%	26.23%	25.97%	23.92%	 0.00%	23.88%	26.23%	25.97%	23.92%	 0.00%
101  	23.92%	26.18%	25.96%	23.95%	 0.00%	23.92%	26.18%	25.96%	23.95%	 0.00%
102  	23.85%	26.25%	25.96%	23.94%	 0.00%	23.85%	26.25%	25.96%	23.94%	 0.00%
103  	23.91%	26.20%	25.99%	23.90%	 0.00%	23.91%	26.20%	25.99%	23.90%	 0.00%
104  	23.95%	26.16%	25.95%	23.95%	 0.00%	23.95%	26.16%	25.95%	23.95%	 0.00%
105  	23.87%	26.24%	25.97%	23.92%	 0.00%	23.87%	26.24%	25.97%	23.92%	 0.00%
106  	23.93%	26.18%	26.00%	23.88%	 0.00%	23.93%	26.18%	26.01%	23.88%	 0.00%
107  	23.96%	26.14%	25.98%	23.92%	 0.00%	23.96%	26.14%	25.98%	23.92%	 0.00%
108  	23.90%	26.23%	25.97%	23.90%	 0.00%	23.90%	26.23%	25.97%	23.90%	 0.00%
109  	23.95%	26.20%	25.99%	23.86%	 0.00%	23.95%	26.20%	25.99%	23.86%	 0.00%
110  	23.97%	26.15%	25.98%	23.91%	 0.00%	23.97%	26.15%	25.98%	23.91%	 0.00%
111  	23.92%	26.21%	25.98%	23.89%	 0.00%	23.92%	26.21%	25.98%	23.89%	 0.00%
112  	23.94%	26.19%	26.02%	23.85%	 0.00%	23.94%	26.19%	26.02%	23.85%	 0.00%
113  	24.00%	26.13%	25.97%	23.90%	 0.00%	24.00%	26.13%	25.97%	23.90%	 0.00%
114  	23.95%	26.20%	25.97%	23.89%	 0.00%	23.95%	26.20%	25.97%	23.89%	 0.00%
115  	23.99%	26.14%	26.02%	23.85%	 0.00%	23.99%	26.14%	26.02%	23.85%	 0.00%
116  	24.01%	26.10%	26.01%	23.88%	 0.00%	24.01%	26.10%	26.01%	23.88%	 0.00%
117  	23.96%	26.19%	26.01%	23.84%	 0.00%	23.96%	26.19%	26.01%	23.84%	 0.00%
118  	24.02%	26.14%	26.04%	23.81%	 0.00%	24.02%	26.14%	26.04%	23.81%	 0.00%
119  	24.05%	26.08%	26.02%	23.85%	 0.00%	24.05%	26.08%	26.02%	23.85%	 0.00%
120  	23.97%	26.16%	26.02%	23.84%	 0.00%	23.97%	26.16%	26.02%	23.84%	 0.00%
121  	24.02%	26.15%	26.04%	23.79%	 0.00%	24.02%	26.15%	26.04%	23.79%	 0.00%
122  	24.06%	26.10%	26.00%	23.84%	 0.00%	24.06%	26.10%	26.00%	23.84%	 0.00%
123  	24.01%	26.17%	26.01%	23.81%	 0.00%	24.01%	26.17%	26.01%	23.81%	 0.00%
124  	24.06%	26.15%	26.03%	23.77%	 0.00%	24.06%	26.15%	26.03%	23.77%	 0.00%
125  	24.10%	26.09%	26.01%	23.80%	 0.00%	24.10%	26.09%	26.01%	23.80%	 0.00%
126  	24.03%	26.16%	26.02%	23.78%	 0.00%	24.03%	26.16%	26.02%	23.78%	 0.00%
127  	24.11%	26.09%	26.05%	23.76%	 0.00%	24.10%	26.09%	26.05%	23.76%	 0.00%
128  	24.13%	26.05%	26.03%	23.78%	 0.00%	24.13%	26.05%	26.03%	23.78%	 0.00%
129  	24.07%	26.14%	26.03%	23.76%	 0.00%	24.07%	26.14%	26.03%	23.76%	 0.00%
130  	24.11%	26.11%	26.06%	23.72%	 0.00%	24.11%	26.11%	26.06%	23.72%	 0.00%
131  	24.17%	26.05%	26.02%	23.76%	 0.00%	24.17%	26.05%	26.02%	23.76%	 0.00%
132  	24.11%	26.13%	26.02%	23.73%	 0.00%	24.11%	26.13%	26.02%	23.73%	 0.00%
133  	24.16%	26.08%	26.05%	23.70%	 0.00%	24.16%	26.08%	26.05%	23.70%	 0.00%
134  	24.20%	26.05%	26.02%	23.73%	 0.00%	24.20%	26.05%	26.02%	23.73%	 0.00%
135  	24.16%	26.11%	26.03%	23.71%	 0.00%	24.16%	26.11%	26.03%	23.71%	 0.00%
136  	24.20%	26.07%	26.07%	23.67%	 0.00%	24.20%	26.07%	26.07%	23.67%	 0.00%
137  	24.24%	26.01%	26.04%	23.71%	 0.00%	24.24%	26.01%	26.04%	23.71%	 0.00%
138  	24.20%	26.08%	26.05%	23.67%	 0.00%	24.20%	26.08%	26.05%	23.67%	 0.00%
139  	24.25%	26.05%	26.05%	23.65%	 0.00%	24.25%	26.05%	26.05%	23.65%	 0.00%
140  	24.27%	25.99%	26.07%	23.67%	 0.00%	24.27%	25.99%	26.07%	23.67%	 0.00%
141  	24.23%	26.08%	26.03%	23.65%	 0.00%	24.23%	26.08%	26.03%	23.65%	 0.00%
142  	24.29%	26.02%	26.06%	23.63%	 0.00%	24.29%	26.02%	26.06%	23.63%	 0.00%
143  	24.34%	25.97%	26.04%	23.64%	 0.00%	24.34%	25.97%	26.04%	23.64%	 0.00%
144  	24.28%	26.04%	26.05%	23.62%	 0.00%	24.28%	26.04%	26.05%	23.62%	 0.00%
145  	24.36%	25.98%	26.06%	23.60%	 0.00%	24.36%	25.98%	26.06%	23.60%	 0.00%
146  	24.39%	25.92%	26.05%	23.64%	 0.00%	24.39%	25.92%	26.05%	23.64%	 0.00%
147  	24.37%	26.00%	26.02%	23.61%	 0.00%	24.37%	26.00%	26.02%	23.61%	 0.00%
148  	24.42%	25.94%	26.05%	23.59%	 0.00%	24.42%	25.94%	26.05%	23.59%	 0.00%
149  	24.46%	25.89%	26.05%	23.60%	 0.00%	24.46%	25.89%	26.05%	23.60%	 0.00%
150  	24.45%	25.94%	26.05%	23.57%	 0.00%	24.45%	25.94%	26.05%	23.57%	 0.00%
